acn,cid,sfd,aod,drcr,channel,amount,occupation,narration,transaction_date,gst_import
1136493134,66177,Cash,2026-06-25,0,Internet Banking,53662,Retired,Loan EMI,2026-11-29,1
1136493134,66177,Cash,2026-06-25,0,UPI,4672,Retired,UPI Payment,2026-12-07,1
1136493134,66177,Cash,2026-06-25,1,UPI,285845,Retired,Business Credit,2026-12-07,1
1154441250,40518,Business,2025-08-07,1,Branch,81100,Business,Cheque Deposit,2026-04-24,1
1154441250,40518,Business,2025-08-07,0,Internet Banking,22030,Business,Loan EMI,2026-04-27,0
1154441250,40518,Business,2025-08-07,0,Internet Banking,7685,Business,Insurance Premium,2026-04-30,1
1154441250,40518,Business,2025-08-07,1,NEFT,80762,Business,Salary Credit,2026-05-10,1
1154441250,40518,Business,2025-08-07,0,UPI,1951,Business,UPI Payment,2026-07-08,1
1154441250,40518,Business,2025-08-07,1,Branch,79257,Business,Cash Deposit,2026-07-09,1
1154441250,40518,Business,2025-08-07,0,ATM,22987,Business,Rent Payment,2026-08-14,1
1154441250,40518,Business,2025-08-07,0,Internet Banking,37015,Business,Insurance Premium,2026-10-11,1
1154441250,40518,Business,2025-08-07,0,UPI,2670,Business,UPI Payment,2026-10-17,0
1154441250,40518,Business,2025-08-07,0,ATM,16794,Business,ATM Withdrawal,2026-11-04,0
1154441250,40518,Business,2025-08-07,1,Branch,219059,Business,Cash Deposit,2026-12-04,1
1154441250,40518,Business,2025-08-07,1,RTGS,20838,Business,Dividend,2026-12-17,1
1159541786,43588,Loan,2026-01-10,0,Internet Banking,34289,Business,Insurance Premium,2026-04-08,0
1159541786,43588,Loan,2026-01-10,1,NEFT,108841,Business,Salary Credit,2026-05-09,1
1159541786,43588,Loan,2026-01-10,0,Internet Banking,21043,Business,Online Shopping,2026-06-14,0
1159541786,43588,Loan,2026-01-10,1,NEFT,13886,Business,GST Refund,2026-06-14,0
1159541786,43588,Loan,2026-01-10,1,Branch,175197,Business,Premature,2026-06-17,0
1159541786,43588,Loan,2026-01-10,0,Internet Banking,90132,Business,Mutual Fund SIP,2026-07-02,0
1159541786,43588,Loan,2026-01-10,0,Internet Banking,5008,Business,Electricity Bill,2026-08-01,0
1159541786,43588,Loan,2026-01-10,1,Internet Banking,54672,Business,Business Credit,2026-08-22,1
1159541786,43588,Loan,2026-01-10,0,Internet Banking,10887,Business,Insurance Premium,2026-08-23,0
1159541786,43588,Loan,2026-01-10,0,Internet Banking,742,Business,Water Bill,2026-08-28,0
1159541786,43588,Loan,2026-01-10,0,NEFT,4201,Business,Restaurant,2026-09-09,0
1164608376,31820,Salary,2025-11-27,1,ATM,440204,Self-Employed,Premature,2026-05-16,1
1164608376,31820,Salary,2025-11-27,0,Internet Banking,28826,Self-Employed,Online Shopping,2026-05-17,0
1164608376,31820,Salary,2025-11-27,1,RTGS,23288,Self-Employed,Dividend,2026-05-30,0
1164608376,31820,Salary,2025-11-27,0,Internet Banking,31057,Self-Employed,Loan EMI,2026-06-15,1
1164608376,31820,Salary,2025-11-27,1,RTGS,27475,Self-Employed,Dividend,2026-07-07,1
1164608376,31820,Salary,2025-11-27,0,UPI,1832,Self-Employed,Mobile Recharge,2026-08-01,1
1164608376,31820,Salary,2025-11-27,1,NEFT,328635,Self-Employed,Premature,2026-08-13,0
1164608376,31820,Salary,2025-11-27,0,Internet Banking,12084,Self-Employed,Insurance Premium,2026-09-01,0
1164608376,31820,Salary,2025-11-27,1,ATM,10940,Self-Employed,Business Credit,2026-09-02,0
1164608376,31820,Salary,2025-11-27,0,Internet Banking,23376,Self-Employed,Insurance Premium,2026-10-15,0
1203458802,29825,Loan,2026-06-23,1,Branch,141851,Salaried,Cash Deposit,2026-06-27,0
1203458802,29825,Loan,2026-06-23,1,Internet Banking,27966,Salaried,Dividend,2026-08-17,1
1203458802,29825,Loan,2026-06-23,1,NEFT,1496,Salaried,Interest Credit,2026-09-07,0
1203458802,29825,Loan,2026-06-23,0,Internet Banking,35638,Salaried,Insurance Premium,2026-09-14,1
1203458802,29825,Loan,2026-06-23,1,NEFT,198217,Salaried,Business Credit,2026-09-20,1
1203458802,29825,Loan,2026-06-23,1,RTGS,410283,Salaried,Premature,2026-09-26,1
1203458802,29825,Loan,2026-06-23,1,Internet Banking,11425,Salaried,Dividend,2026-10-16,1
1203458802,29825,Loan,2026-06-23,0,UPI,3129,Salaried,UPI Payment,2026-10-21,0
1203458802,29825,Loan,2026-06-23,0,ATM,42646,Salaried,Online Shopping,2026-11-05,0
1203458802,29825,Loan,2026-06-23,0,UPI,2789,Salaried,Mobile Recharge,2026-11-08,1
1203458802,29825,Loan,2026-06-23,0,Internet Banking,53849,Salaried,Loan EMI,2026-11-15,0
1203458802,29825,Loan,2026-06-23,1,Branch,85359,Salaried,Cheque Deposit,2026-11-22,0
1203458802,29825,Loan,2026-06-23,1,Internet Banking,64764,Salaried,Salary Credit,2026-11-30,1
1203458802,29825,Loan,2026-06-23,1,Branch,282211,Salaried,Cheque Deposit,2026-12-08,1
1203458802,29825,Loan,2026-06-23,1,Internet Banking,188557,Salaried,Premature,2026-12-12,0
1215395474,76305,Loan,2025-09-15,1,NEFT,4152,Salaried,Interest Credit,2026-04-23,0
1215395474,76305,Loan,2025-09-15,1,Branch,13042,Salaried,Cheque Deposit,2026-05-25,0
1215395474,76305,Loan,2025-09-15,0,NEFT,2759,Salaried,Mobile Recharge,2026-06-23,0
1215395474,76305,Loan,2025-09-15,0,Branch,15052,Salaried,Rent Payment,2026-07-12,1
1215395474,76305,Loan,2025-09-15,0,IMPS,101938,Salaried,Hotel Booking,2026-07-17,0
1215395474,76305,Loan,2025-09-15,0,NEFT,22550,Salaried,Medical,2026-09-19,1
1215395474,76305,Loan,2025-09-15,0,IMPS,1676,Salaried,POS Purchase,2026-09-25,1
1215395474,76305,Loan,2025-09-15,1,Internet Banking,91979,Salaried,Salary Credit,2026-10-25,1
1215395474,76305,Loan,2025-09-15,0,RTGS,2199,Salaried,Shopping Mall,2026-11-12,0
1215395474,76305,Loan,2025-09-15,1,Branch,269803,Salaried,Cash Deposit,2026-11-24,1
1215395474,76305,Loan,2025-09-15,1,Branch,207688,Salaried,Cash Deposit,2026-12-01,1
1215395474,76305,Loan,2025-09-15,0,Branch,13155,Salaried,Hotel Booking,2026-12-07,1
1215395474,76305,Loan,2025-09-15,0,UPI,34711,Salaried,Travel Booking,2026-12-07,0
1227562793,52506,Salary,2025-12-23,1,Branch,203471,Self-Employed,Cheque Deposit,2026-06-11,1
1227562793,52506,Salary,2025-12-23,1,Internet Banking,4907,Self-Employed,Interest Credit,2026-07-07,0
1227562793,52506,Salary,2025-12-23,0,IMPS,74399,Self-Employed,Hotel Booking,2026-07-11,1
1227562793,52506,Salary,2025-12-23,1,Internet Banking,95537,Self-Employed,Salary Credit,2026-07-15,1
1227562793,52506,Salary,2025-12-23,0,ATM,40976,Self-Employed,Rent Payment,2026-07-28,0
1227562793,52506,Salary,2025-12-23,0,Internet Banking,3248,Self-Employed,Water Bill,2026-08-06,0
1227562793,52506,Salary,2025-12-23,0,Internet Banking,490,Self-Employed,Mobile Recharge,2026-08-07,0
1227562793,52506,Salary,2025-12-23,0,Internet Banking,96865,Self-Employed,Hotel Booking,2026-08-29,0
1227562793,52506,Salary,2025-12-23,1,Internet Banking,28033,Self-Employed,GST Refund,2026-10-26,0
1227562793,52506,Salary,2025-12-23,1,Branch,99452,Self-Employed,Cheque Deposit,2026-12-25,0
1227562793,52506,Salary,2025-12-23,0,RTGS,4327,Self-Employed,Restaurant,2026-12-31,0
1231943126,44855,Business,2026-05-30,0,Internet Banking,3128,Salaried,Water Bill,2026-06-14,1
1231943126,44855,Business,2026-05-30,1,RTGS,23972,Salaried,GST Refund,2026-06-28,1
1231943126,44855,Business,2026-05-30,0,ATM,19273,Salaried,ATM Withdrawal,2026-07-01,0
1231943126,44855,Business,2026-05-30,1,Branch,113127,Salaried,Business Credit,2026-07-13,1
1231943126,44855,Business,2026-05-30,1,NEFT,4953,Salaried,Interest Credit,2026-07-31,1
1231943126,44855,Business,2026-05-30,0,Internet Banking,83173,Salaried,Mutual Fund SIP,2026-08-12,1
1231943126,44855,Business,2026-05-30,0,NEFT,1160,Salaried,Restaurant,2026-09-01,1
1231943126,44855,Business,2026-05-30,0,NEFT,11990,Salaried,Online Shopping,2026-09-14,1
1231943126,44855,Business,2026-05-30,0,ATM,6264,Salaried,ATM Withdrawal,2026-09-26,1
1231943126,44855,Business,2026-05-30,1,UPI,256100,Salaried,Premature,2026-10-15,0
1231943126,44855,Business,2026-05-30,1,UPI,244296,Salaried,Premature,2026-10-17,0
1231943126,44855,Business,2026-05-30,1,RTGS,54921,Salaried,Tax Refund,2026-10-21,0
1231943126,44855,Business,2026-05-30,1,NEFT,5373,Salaried,Dividend,2026-11-15,1
1231943126,44855,Business,2026-05-30,0,Internet Banking,32425,Salaried,Insurance Premium,2026-11-18,1
1231943126,44855,Business,2026-05-30,0,Internet Banking,2104,Salaried,Electricity Bill,2026-12-06,1
1231943126,44855,Business,2026-05-30,1,RTGS,10822,Salaried,GST Refund,2026-12-17,1
1231943126,44855,Business,2026-05-30,1,ATM,426044,Salaried,Business Credit,2026-12-17,0
1263890449,21427,Cash,2025-12-23,0,ATM,23629,Student,Online Shopping,2026-04-05,0
1263890449,21427,Cash,2025-12-23,1,Branch,88778,Student,Cheque Deposit,2026-04-28,0
1263890449,21427,Cash,2025-12-23,0,UPI,187,Student,UPI Payment,2026-05-01,0
1263890449,21427,Cash,2025-12-23,1,Internet Banking,24861,Student,GST Refund,2026-05-18,0
1263890449,21427,Cash,2025-12-23,0,Internet Banking,1046,Student,Restaurant,2026-06-19,0
1263890449,21427,Cash,2025-12-23,1,Internet Banking,17303,Student,GST Refund,2026-07-08,0
1263890449,21427,Cash,2025-12-23,1,Branch,298672,Student,Cash Deposit,2026-07-16,0
1263890449,21427,Cash,2025-12-23,1,Branch,159121,Student,Cheque Deposit,2026-08-11,1
1263890449,21427,Cash,2025-12-23,1,Branch,124730,Student,Business Credit,2026-08-11,0
1263890449,21427,Cash,2025-12-23,1,ATM,41610,Student,Business Credit,2026-08-16,1
1263890449,21427,Cash,2025-12-23,0,ATM,8134,Student,ATM Withdrawal,2026-08-19,0
1263890449,21427,Cash,2025-12-23,1,NEFT,5474,Student,Dividend,2026-09-19,1
1263890449,21427,Cash,2025-12-23,1,Branch,53479,Student,Cheque Deposit,2026-09-23,1
1263890449,21427,Cash,2025-12-23,0,Branch,56304,Student,Hotel Booking,2026-10-12,1
1263890449,21427,Cash,2025-12-23,1,Internet Banking,63269,Student,Tax Refund,2026-10-23,1
1263890449,21427,Cash,2025-12-23,0,Internet Banking,293,Student,Mobile Recharge,2026-10-29,1
1263890449,21427,Cash,2025-12-23,0,ATM,16549,Student,ATM Withdrawal,2026-12-12,0
1292181569,43316,Investment,2025-12-21,0,Internet Banking,1320,Farmer,Electricity Bill,2026-04-01,1
1292181569,43316,Investment,2025-12-21,0,Internet Banking,39008,Farmer,Insurance Premium,2026-04-01,0
1292181569,43316,Investment,2025-12-21,0,UPI,3927,Farmer,UPI Payment,2026-06-15,0
1292181569,43316,Investment,2025-12-21,1,RTGS,6759,Farmer,GST Refund,2026-06-16,1
1292181569,43316,Investment,2025-12-21,0,Internet Banking,57863,Farmer,Hotel Booking,2026-06-17,1
1292181569,43316,Investment,2025-12-21,0,Internet Banking,5557,Farmer,POS Purchase,2026-06-21,0
1292181569,43316,Investment,2025-12-21,0,Internet Banking,29304,Farmer,Loan EMI,2026-07-11,0
1292181569,43316,Investment,2025-12-21,0,Internet Banking,26842,Farmer,Loan EMI,2026-07-14,0
1292181569,43316,Investment,2025-12-21,0,NEFT,3830,Farmer,Shopping Mall,2026-08-23,1
1292181569,43316,Investment,2025-12-21,1,NEFT,22714,Farmer,Dividend,2026-09-19,1
1292181569,43316,Investment,2025-12-21,1,Branch,99762,Farmer,Cash Deposit,2026-09-23,1
1292181569,43316,Investment,2025-12-21,0,Internet Banking,4772,Farmer,Loan EMI,2026-11-25,1
1292181569,43316,Investment,2025-12-21,0,Internet Banking,2965,Farmer,Broadband Bill,2026-12-11,1
1292181569,43316,Investment,2025-12-21,0,Internet Banking,19806,Farmer,Insurance Premium,2026-12-31,1
1298666113,80999,Cash,2025-08-17,1,RTGS,1578,Farmer,Interest Credit,2026-04-23,0
